ID,Cohort,Program,College,major_2,concentration_1,hrs_enrolled,gender,state,ipeds_ethnicity,resid_commuter_sts,sport_1,sport_1_b,sport_2,sport_2_b,first_gen,hs_gpa,pell_eligible,ret_label,ret_label_b
487,79,57,3,0,0,15,0,11,6,2,2,1,5,0,0,3,0,0,0
489,79,54,1,0,0,16,0,11,6,2,9,1,5,0,0,3.65,1,3,1
490,79,49,2,0,0,16,0,11,1,2,5,1,5,0,0,3,1,1,0
493,87,33,2,0,0,16,1,11,6,2,25,0,5,0,1,3.99,0,3,1
494,87,57,3,0,0,15,0,11,6,2,5,1,5,0,1,3.15,1,3,1
495,87,59,0,0,0,16,1,11,6,2,0,1,5,0,0,2.65,1,0,0
499,87,22,1,0,0,16,0,6,5,2,1,1,5,0,1,0,0,3,1
500,87,57,3,0,0,15,0,17,1,2,5,1,5,0,1,2.92,0,0,0
501,87,18,3,0,0,15,0,14,6,2,3,1,5,0,0,3,0,3,1
504,79,0,3,0,0,15,0,3,6,2,9,1,5,0,0,3.88,0,3,1
508,79,50,2,0,0,12,1,12,6,2,25,0,5,0,0,3.84,0,3,1
509,79,24,2,0,0,14,1,12,6,2,25,0,5,0,0,3.82,0,3,1
512,87,17,3,0,0,16,0,12,1,2,3,1,5,0,0,3.2,0,3,1
516,79,52,1,0,0,15,1,14,6,2,25,0,5,0,1,3.75,0,3,1
518,87,4,1,0,0,15,1,14,6,0,25,0,5,0,0,3,0,0,0
519,87,4,1,0,0,15,1,14,1,2,22,1,5,0,0,3.15,1,3,1
524,87,44,2,0,0,15,0,14,6,2,25,0,5,0,0,3.88,0,3,1
526,79,49,2,0,0,12,1,14,6,0,0,1,3,1,0,3.88,0,3,1
529,79,24,2,0,0,14,1,14,6,2,25,0,5,0,1,3.35,0,3,1
530,79,44,2,0,0,15,0,14,4,0,25,0,5,0,0,3.65,1,3,1
531,79,49,2,0,0,16,1,14,6,2,0,1,5,0,0,3.35,0,3,1
532,79,25,2,0,0,15,1,14,6,0,25,0,5,0,0,3.35,0,3,1
533,79,16,3,0,0,15,1,14,6,2,19,1,5,0,1,3.95,0,3,1
534,79,50,2,0,0,15,1,14,6,2,25,0,5,0,0,3.86,0,3,1
536,79,50,2,0,0,15,1,14,6,0,25,0,5,0,1,3.23,0,1,0
537,79,15,3,0,0,15,0,14,1,2,5,1,2,1,1,2.65,1,3,1
538,79,52,1,0,0,15,1,14,6,2,25,0,5,0,0,3.15,0,1,0
539,79,52,1,0,0,15,1,14,6,2,25,0,5,0,1,3.5,1,0,0
540,79,44,2,0,0,15,0,14,6,2,11,1,5,0,1,3.19,1,0,0
541,79,49,2,0,0,16,1,14,6,2,25,0,5,0,1,4,1,3,1
542,79,15,3,0,0,15,0,14,1,2,3,1,5,0,0,3.65,1,3,1
543,79,31,2,0,0,16,0,14,6,2,5,1,5,0,1,3.88,0,3,1
544,79,44,2,0,0,15,0,14,6,0,25,0,5,0,1,3.5,0,3,1
546,79,59,0,0,0,16,1,14,6,2,25,0,5,0,1,3.15,1,3,1
547,79,59,0,0,0,15,0,14,6,2,25,0,5,0,1,3.15,0,0,0
563,87,57,3,0,0,16,1,14,6,2,19,1,5,0,0,3.875,0,0,0
564,87,24,2,0,0,13,1,14,6,2,22,1,5,0,0,3.75,0,3,1
565,87,59,0,0,0,16,1,14,6,2,25,0,5,0,0,3.49,1,0,0
566,87,52,1,0,0,16,1,14,6,2,22,1,5,0,1,3.35,0,3,1
568,87,44,2,0,0,15,1,14,1,2,25,0,5,0,0,3.65,1,3,1
569,87,49,2,0,0,16,1,14,6,2,25,0,5,0,1,3.07,1,3,1
570,87,52,1,0,0,15,0,14,6,2,5,1,5,0,0,3.24,0,3,1
571,87,49,2,0,0,16,1,14,6,2,25,0,5,0,0,3.09,0,3,1
572,87,55,1,0,0,16,1,14,6,2,25,0,5,0,1,2.85,1,3,1
573,87,32,2,0,0,16,1,14,6,2,25,0,5,0,1,3.35,1,3,1
574,87,49,2,0,0,16,1,14,6,2,25,0,5,0,1,3,1,3,1
575,87,44,2,0,0,15,0,14,2,0,25,0,5,0,1,0,1,0,0
576,87,49,2,0,0,16,1,14,2,2,25,0,5,0,1,3,1,3,1
577,87,35,3,0,0,16,1,14,6,0,25,0,5,0,0,3.99,0,3,1
578,87,11,3,0,0,16,0,14,6,2,25,0,5,0,0,3.43,1,3,1
579,87,33,2,0,0,16,1,14,4,2,25,0,5,0,0,3,0,3,1
580,87,49,2,0,0,16,0,14,6,2,25,0,5,0,0,3.65,1,0,0
581,87,49,2,0,0,16,1,14,2,2,25,0,5,0,1,3.21,1,0,0
582,87,19,1,0,0,14,0,14,6,2,25,0,5,0,0,3,1,3,1
583,87,8,3,0,0,12,0,14,6,2,5,1,5,0,1,2.65,0,0,0
647,87,5,1,0,0,17,1,14,6,2,20,1,5,0,0,3.88,0,3,1
